Origin;Long;Lat;Destination;Long;Lat;Amount
BE23;3.511506002;50.77510677;EtOH37;5.20703;50.53314;175460.2318
BE24;3.977785704;50.69224299;EtOH37;5.20703;50.53314;556363.161
BE31;4.149398294;50.68307085;EtOH18;5.20703;50.53314;234725.2422
BE31;4.149398294;50.68307085;EtOH37;5.20703;50.53314;64583.79283
BE32;2.995043302;50.79898045;EtOH8;3.794;51.14174;1131736.527
BE32;2.995043302;50.79898045;EtOH24;2.49479;50.56069;377964.0719
BE32;2.995043302;50.79898045;EtOH36;2.2359;51.00378;661692.3882
BE35;4.45438947;50.26561594;EtOH18;5.20703;50.53314;1244316.674
FR23;0.109862896;49.57201517;EtOH4;0.51204;49.49389;944910.1796
FR30;1.635204923;50.58156867;EtOH36;2.2359;51.00378;835313.5998
NL23;5.374587771;52.34141289;EtOH46;4.18148;51.92499;255495.0261
NL34;3.375842839;51.32661939;EtOH46;4.18148;51.92499;2012289.405
UKF3;-0.685027336;52.96402614;EtOH11;-0.23791;53.73732;1933932.423
EtOH4;0.51204;49.49389;Ethy5;0.21524;49.48034;157800
EtOH8;3.794;51.14174;Ethy5;0.21524;49.48034;189000
EtOH11;-0.23791;53.73732;Ethy5;0.21524;49.48034;322966.7146
EtOH18;5.20703;50.53314;Ethy5;0.21524;49.48034;247000
EtOH24;2.49479;50.56069;Ethy5;0.21524;49.48034;63120
EtOH36;2.2359;51.00378;Ethy5;0.21524;49.48034;250000
EtOH37;5.20703;50.53314;Ethy5;0.21524;49.48034;133000
EtOH46;4.18148;51.92499;Ethy5;0.21524;49.48034;378720
Ethy5;0.21524;49.48034;MEG2;3.78947;51.33391;122222.2222
Ethy5;0.21524;49.48034;MEG5;4.5724;51.68237;225925.9259
Ethy5;0.21524;49.48034;MEG6;7.09148;51.68264;139501.7319
MEG2;3.78947;51.33391;PET3;4.96226;51.14385;229350
MEG5;4.5724;51.68237;PET3;4.96226;51.14385;650
MEG5;4.5724;51.68237;PET4;4.47773;51.92442;423300
MEG6;7.09148;51.68264;PET4;4.47773;51.92442;46700
MEG6;7.09148;51.68264;PET6;19.06773;52.64833;215075
PET3;4.96226;51.14385;D1;5.938828;49.568814;26890
PET3;4.96226;51.14385;D3;13.117282;41.736609;43803
PET3;4.96226;51.14385;D7;4.636512;51.354767;34827
PET3;4.96226;51.14385;D11;-4.058347;40.20017;47230
PET3;4.96226;51.14385;D12;19.060493;50.108736;32675
PET3;4.96226;51.14385;D20;3.862541;51.012566;44575
PET4;4.47773;51.92442;D4;8.555636;45.932569;33918
PET4;4.47773;51.92442;D6;2.42026;50.955179;39148
PET4;4.47773;51.92442;D10;14.200685;50.016293;43454
PET4;4.47773;51.92442;D12;19.060493;50.108736;15396
PET4;4.47773;51.92442;D13;26.238654;44.980778;45446
PET4;4.47773;51.92442;D14;25.059337;54.638335;31495
PET4;4.47773;51.92442;D15;2.60485;41.729028;43432
PET4;4.47773;51.92442;D17;12.616566;45.665796;41662
PET4;4.47773;51.92442;D18;14.474148;50.378528;37573
PET4;4.47773;51.92442;D19;-6.696126;38.134402;44708
PET4;4.47773;51.92442;D21;22.135509;48.338159;47212
PET4;4.47773;51.92442;D22;21.64677;38.109148;46556
PET6;19.06773;52.64833;D1;5.938828;49.568814;3110
PET6;19.06773;52.64833;D2;2.380377;48.294945;30000
PET6;19.06773;52.64833;D5;4.900374;46.974735;37507
PET6;19.06773;52.64833;D8;-2.986733;53.076837;49532
PET6;19.06773;52.64833;D9;7.296244;50.372365;49651
PET6;19.06773;52.64833;D16;3.952883;46.012353;45275
BE23;3.511506002;50.77510677;F1;4.2514629;51.5079345;42823.097
BE24;3.977785704;50.69224299;F1;4.2514629;51.5079345;36970.423
BE25;2.737996066;50.8011083;F1;4.2514629;51.5079345;51739.393
BE31;4.149398294;50.68307085;F1;4.2514629;51.5079345;20934.975
BE32;2.995043302;50.79898045;F1;4.2514629;51.5079345;19410.912
BE35;4.45438947;50.26561594;F2;4.1610455;49.350418;5586.898
CZ01;14.28874155;50.04958371;F1;4.2514629;51.5079345;1795.227
CZ02;13.54220708;50.16525144;F1;4.2514629;51.5079345;102340.377
CZ03;12.70345194;49.70237949;F1;4.2514629;51.5079345;70819.011
CZ04;12.41848731;50.10463939;F1;4.2514629;51.5079345;22148.575
CZ05;14.4804824;50.60048046;F1;4.2514629;51.5079345;58748.25
CZ06;14.93734086;49.55482886;F1;4.2514629;51.5079345;103191.952
DK01;11.89723965;55.81413072;F7;15.8288952;57.4989841;13258.815
DK02;11.10313866;54.78089961;F7;15.8288952;57.4989841;62881.032
DK03;8.496893263;55.51376223;F7;15.8288952;57.4989841;61149.966
DK04;8.146206427;56.24630009;F7;15.8288952;57.4989841;65660.01
DK05;8.352722964;56.69862639;F7;15.8288952;57.4989841;39457.335
FR22;1.566239639;50.01601782;F1;4.2514629;51.5079345;81253.66157
FR22;1.566239639;50.01601782;F2;4.1610455;49.350418;106044.7914
FR23;0.109862896;49.57201517;F2;4.1610455;49.350418;61053.11
FR24;0.138789792;47.21838902;F2;4.1610455;49.350418;378667.113
FR25;-1.775983796;49.49878444;F2;4.1610455;49.350418;315482.007
FR30;1.635204923;50.58156867;F1;4.2514629;51.5079345;151138.641
FR51;-2.289465851;47.31446185;F2;4.1610455;49.350418;357241.39
FR52;-4.752518325;48.37623316;F2;4.1610455;49.350418;418722.076
FR53;-1.068784185;45.99294905;F2;4.1610455;49.350418;289499.488
FR63;1.054463183;45.7583403;F2;4.1610455;49.350418;64783.738
FR72;2.079263984;44.93493209;F2;4.1610455;49.350418;61469.039
DE94;7.068587571;52.50319315;F1;4.2514629;51.5079345;137048.344
DEA1;6.223914248;51.68763366;F1;4.2514629;51.5079345;75220.585
DEA2;6.072879352;51.08872231;F1;4.2514629;51.5079345;121176.538
DEA3;6.445188445;51.82050117;F1;4.2514629;51.5079345;78756.531
DEB1;7.210980897;50.22212677;F1;4.2514629;51.5079345;55504.115
DEB2;6.209031452;50.12125233;F1;4.2514629;51.5079345;27666.312
DED2;13.2514236;51.23556888;F1;4.2514629;51.5079345;68915.465
DED4;11.98408115;50.41880419;F1;4.2514629;51.5079345;57985.221
DED5;12.19306937;51.27830542;F1;4.2514629;51.5079345;34705.704
DEE0;10.68378719;51.9620695;F1;4.2514629;51.5079345;216308.972
DEF0;8.613595736;54.88592794;F1;4.2514629;51.5079345;35742.37743
DEF0;8.613595736;54.88592794;F7;15.8288952;57.4989841;125254.5326
ITC4;8.785916937;45.51544853;F2;4.1610455;49.350418;165854.5988
NL11;6.322869793;53.31017277;F1;4.2514629;51.5079345;25580.429
NL12;5.411647655;53.11701497;F1;4.2514629;51.5079345;37405.104
NL22;5.360932287;51.9087508;F1;4.2514629;51.5079345;56548.306
NL23;5.374587771;52.34141289;F1;4.2514629;51.5079345;10663.551
NL32;4.678390076;52.25818936;F1;4.2514629;51.5079345;24971.444
NL33;4.206214692;51.82150606;F1;4.2514629;51.5079345;8772.841
NL34;3.375842839;51.32661939;F1;4.2514629;51.5079345;32270.389
NL42;5.914519883;50.93924;F1;4.2514629;51.5079345;43016.098
PL43;14.60356822;52.41427972;F7;15.8288952;57.4989841;127786.634
PL51;14.97733618;51.01236322;F1;4.2514629;51.5079345;321915.14
PL61;17.43383078;53.44416777;F7;15.8288952;57.4989841;258034.296
PL62;19.24824909;54.115292;F7;15.8288952;57.4989841;624774.218
SE22;12.56257225;56.23414743;F7;15.8288952;57.4989841;69136.903
SE23;11.33183914;58.86049996;F7;15.8288952;57.4989841;96354.464
UKE1;-0.871739522;53.58235964;F1;4.2514629;51.5079345;14876.483
UKE3;-1.272554297;53.36402508;F1;4.2514629;51.5079345;6716.446
UKF1;-1.346924284;52.95743923;F1;4.2514629;51.5079345;30987.209
UKF2;-1.540686882;52.66632219;F1;4.2514629;51.5079345;27312.676
UKF3;-0.685027336;52.96402614;F1;4.2514629;51.5079345;32696.436
UKG1;-2.912422854;52.12388049;F1;4.2514629;51.5079345;49049.431
UKH1;-0.400439137;52.28198145;F1;4.2514629;51.5079345;19182.905
UKH2;-0.64371458;52.06075158;F1;4.2514629;51.5079345;18374.262
UKH3;-0.002124595;51.70034209;F1;4.2514629;51.5079345;22426.801
UKJ1;-1.637675655;51.56657059;F1;4.2514629;51.5079345;28538.857
UKJ4;0.207171267;51.41015133;F1;4.2514629;51.5079345;17688.708
UKK1;-2.967920177;51.29791224;F1;4.2514629;51.5079345;59194.885
UKK2;-3.296511142;51.02351124;F1;4.2514629;51.5079345;45909.493
UKK3;-4.993901438;50.24639409;F1;4.2514629;51.5079345;27307.205
UKK4;-4.235682548;50.58187356;F1;4.2514629;51.5079345;19098.411
UKL1;-5.134334387;51.72876273;F1;4.2514629;51.5079345;130967.32
UKL2;-3.103657487;52.26667728;F1;4.2514629;51.5079345;16184.511
F1;4.2514629;51.5079345;TPA4;4.10402;51.961244;1806000
F2;4.1610455;49.350418;TPA4;4.10402;51.961244;1434740.741
F7;15.8288952;57.4989841;TPA5;19.651878;52.58582;995717.5926
TPA4;4.10402;51.961244;PET3;4.96226;51.14385;230000
TPA4;4.10402;51.961244;PET4;4.47773;51.92442;470000
TPA5;19.651878;52.58582;PET6;19.06773;52.64833;215075
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
BE23;F1;42823.097;;;;
BE24;F1;36970.423;;;;
BE25;F1;51739.393;;;;
BE31;F1;20934.975;;;;
BE32;F1;19410.912;;;;
BE35;F2;5586.898;;;;
CZ01;F1;1795.227;;;;
CZ02;F1;102340.377;;;;
CZ03;F1;70819.011;;;;
CZ04;F1;22148.575;;;;
CZ05;F1;58748.25;;;;
CZ06;F1;103191.952;;;;
DK01;F7;13258.815;;;;
DK02;F7;62881.032;;;;
DK03;F7;61149.966;;;;
DK04;F7;65660.01;;;;
DK05;F7;39457.335;;;;
FR22;F1;81253.66157;;;;
FR22;F2;106044.7914;;;;
FR23;F2;61053.11;;;;
FR24;F2;378667.113;;;;
FR25;F2;315482.007;;;;
FR30;F1;151138.641;;;;
FR51;F2;357241.39;;;;
FR52;F2;418722.076;;;;
FR53;F2;289499.488;;;;
FR63;F2;64783.738;;;;
FR72;F2;61469.039;;;;
DE94;F1;137048.344;;;;
DEA1;F1;75220.585;;;;
DEA2;F1;121176.538;;;;
DEA3;F1;78756.531;;;;
DEB1;F1;55504.115;;;;
DEB2;F1;27666.312;;;;
DED2;F1;68915.465;;;;
DED4;F1;57985.221;;;;
DED5;F1;34705.704;;;;
DEE0;F1;216308.972;;;;
DEF0;F1;35742.37743;;;;
DEF0;F7;125254.5326;;;;
ITC4;F2;165854.5988;;;;
